FEEDBACK_TEXT,FEEDBACK_PAGE,FEEDBACK_QUESTION,USER_TYPE
I had trouble finding the information I needed.,additionalInformation,Was the information on the page clear?,Agent
Instructions were clear and helpful.,incomeReported,How easy was the page to navigate?,Assister
This is bad but for now this would be okay.,primarycontactInfo,Was there any difficulty in completing the task?,Assister
It was confusing and difficult to understand.,EligibilityResult,Was there any difficulty in completing the task?,Assister
This is not bad not good,EligibilityResult,How satisfied are you with the overall experience on this page?,Assister
Instructions were clear and helpful.,householdInfomration,How easy was the page to navigate?,Agent
I experienced several errors and had to reload.,householdInfomration,Was the information on the page clear?,Individual
It was confusing and difficult to understand.,householdInfomration,Was there any difficulty in completing the task?,Assister
"Great user experience, everything was intuitive.",SignAndSubmit,How easy was the page to navigate?,Agent
The process was smooth and easy to follow.,PersonalInfomration,Was there any difficulty in completing the task?,Assister
Instructions were clear and helpful.,additionalInformation,Was the information on the page clear?,Agent
I experienced several errors and had to reload.,SignAndSubmit,Was there any difficulty in completing the task?,Agent
The interface was clunky and slow.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Agent
"Great user experience, everything was intuitive.",EligibilityResult,How satisfied are you with the overall experience on this page?,Individual
The interface was clunky and slow.,reviewEligibility,Was there any difficulty in completing the task?,Agent
It was confusing and difficult to understand.,additionalInformation,How easy was the page to navigate?,Agent
The process was smooth and easy to follow.,CareTakerRelationship,How easy was the page to navigate?,Individual
Instructions were clear and helpful.,CurrentIncomeDetails,How easy was the page to navigate?,Individual
Instructions were clear and helpful.,additionalInformation,Was there any difficulty in completing the task?,Agent
"Not user-friendly, hard to navigate.",SignAndSubmit,How easy was the page to navigate?,Individual
"Not user-friendly, hard to navigate.",primarycontactInfo,Was the information on the page clear?,Assister
It was confusing and difficult to understand.,reviewEligibility,How satisfied are you with the overall experience on this page?,Assister
It was confusing and difficult to understand.,additionalInformation,Was the information on the page clear?,Individual
The process was smooth and easy to follow.,PersonalInfomration,How easy was the page to navigate?,Individual
"Not user-friendly, hard to navigate.",householdInfomration,Was the information on the page clear?,Agent
I experienced several errors and had to reload.,householdInfomration,How easy was the page to navigate?,Individual
I experienced several errors and had to reload.,reviewEligibility,Was there any difficulty in completing the task?,Agent
The process was smooth and easy to follow.,SignAndSubmit,Was the information on the page clear?,Assister
I experienced several errors and had to reload.,householdInfomration,Was there any difficulty in completing the task?,Individual
Very satisfied with the ease of use.,additionalInformation,Was there any difficulty in completing the task?,Agent
I had trouble finding the information I needed.,CareTakerRelationship,Did you find all the information you needed?,Agent
The process was smooth and easy to follow.,EligibilityResult,How easy was the page to navigate?,Assister
The process was smooth and easy to follow.,EligibilityResult,How satisfied are you with the overall experience on this page?,Individual
"The page loaded quickly, and the information was clear.",CurrentIncomeDetails,How easy was the page to navigate?,Assister
"Great user experience, everything was intuitive.",incomeReported,How satisfied are you with the overall experience on this page?,Agent
"Great user experience, everything was intuitive.",primarycontactInfo,How easy was the page to navigate?,Agent
Very satisfied with the ease of use.,reviewEligibility,Was there any difficulty in completing the task?,Individual
"Not user-friendly, hard to navigate.",CurrentIncomeDetails,Was the information on the page clear?,Agent
It was confusing and difficult to understand.,incomeReported,Was the information on the page clear?,Individual
It was confusing and difficult to understand.,SignAndSubmit,Did you find all the information you needed?,Assister
The interface was clunky and slow.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual
Very satisfied with the ease of use.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual
The process was smooth and easy to follow.,primarycontactInfo,How satisfied are you with the overall experience on this page?,Agent
Very satisfied with the ease of use.,householdInfomration,Was there any difficulty in completing the task?,Agent
Very satisfied with the ease of use.,additionalInformation,How satisfied are you with the overall experience on this page?,Individual
Very satisfied with the ease of use.,CurrentIncomeDetails,Was the information on the page clear?,Agent
"Great user experience, everything was intuitive.",CurrentIncomeDetails,Was there any difficulty in completing the task?,Agent
Very satisfied with the ease of use.,reviewEligibility,How easy was the page to navigate?,Agent
I had trouble finding the information I needed.,reviewEligibility,How satisfied are you with the overall experience on this page?,Individual
It was confusing and difficult to understand.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Agent
The interface was clunky and slow.,PersonalInfomration,How easy was the page to navigate?,Individual
I had trouble finding the information I needed.,CareTakerRelationship,How satisfied are you with the overall experience on this page?,Agent
The interface was clunky and slow.,CareTakerRelationship,How easy was the page to navigate?,Assister
"The page loaded quickly, and the information was clear.",householdInfomration,Was there any difficulty in completing the task?,Agent
The interface was clunky and slow.,CareTakerRelationship,Was the information on the page clear?,Agent
It was confusing and difficult to understand.,additionalInformation,How easy was the page to navigate?,Individual
It was confusing and difficult to understand.,additionalInformation,Did you find all the information you needed?,Individual
Very satisfied with the ease of use.,CurrentIncomeDetails,How easy was the page to navigate?,Agent
Instructions were clear and helpful.,EligibilityResult,How satisfied are you with the overall experience on this page?,Assister
"The page loaded quickly, and the information was clear.",additionalInformation,Was there any difficulty in completing the task?,Agent
The process was smooth and easy to follow.,incomeReported,Was there any difficulty in completing the task?,Agent
I experienced several errors and had to reload.,PersonalInfomration,How easy was the page to navigate?,Assister
The interface was clunky and slow.,reviewEligibility,Was the information on the page clear?,Individual
Instructions were clear and helpful.,CareTakerRelationship,Did you find all the information you needed?,Agent
Very satisfied with the ease of use.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Individual
"Great user experience, everything was intuitive.",primarycontactInfo,How satisfied are you with the overall experience on this page?,Individual
The process was smooth and easy to follow.,reviewEligibility,How satisfied are you with the overall experience on this page?,Assister
"Not user-friendly, hard to navigate.",incomeReported,Was the information on the page clear?,Assister
Instructions were clear and helpful.,CareTakerRelationship,Was there any difficulty in completing the task?,Individual
"Great user experience, everything was intuitive.",incomeReported,How easy was the page to navigate?,Agent
"The page loaded quickly, and the information was clear.",PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual
Very satisfied with the ease of use.,PersonalInfomration,Was the information on the page clear?,Agent
The process was smooth and easy to follow.,householdInfomration,Was there any difficulty in completing the task?,Agent
The process was smooth and easy to follow.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Assister
The process was smooth and easy to follow.,reviewEligibility,Was there any difficulty in completing the task?,Agent
"The page loaded quickly, and the information was clear.",SignAndSubmit,Was there any difficulty in completing the task?,Agent
The interface was clunky and slow.,SignAndSubmit,Was there any difficulty in completing the task?,Individual
"Not user-friendly, hard to navigate.",reviewEligibility,How satisfied are you with the overall experience on this page?,Assister
"The page loaded quickly, and the information was clear.",primarycontactInfo,Was the information on the page clear?,Agent
I experienced several errors and had to reload.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Agent
"Not user-friendly, hard to navigate.",incomeReported,Did you find all the information you needed?,Assister
