FEEDBACK_TEXT,FEEDBACK_PAGE,FEEDBACK_QUESTION,USER_TYPE,clean_text,sentiment,scores
I had trouble finding the information I needed.,additionalInformation,Was the information on the page clear?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Instructions were clear and helpful.,incomeReported,How easy was the page to navigate?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
This is bad but for now this would be okay.,primarycontactInfo,Was there any difficulty in completing the task?,Assister,bad would okay,Negative,"{'neg': 0.547, 'neu': 0.156, 'pos': 0.297, 'compound': -0.3818}"
It was confusing and difficult to understand.,EligibilityResult,Was there any difficulty in completing the task?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
This is not bad not good,EligibilityResult,How satisfied are you with the overall experience on this page?,Assister,bad good,Neutral,"{'neg': 0.547, 'neu': 0.0, 'pos': 0.453, 'compound': -0.1531}"
Instructions were clear and helpful.,householdInfomration,How easy was the page to navigate?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I experienced several errors and had to reload.,householdInfomration,Was the information on the page clear?,Individual,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,householdInfomration,Was there any difficulty in completing the task?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Great user experience, everything was intuitive.",SignAndSubmit,How easy was the page to navigate?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The process was smooth and easy to follow.,PersonalInfomration,Was there any difficulty in completing the task?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Instructions were clear and helpful.,additionalInformation,Was the information on the page clear?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I experienced several errors and had to reload.,SignAndSubmit,Was there any difficulty in completing the task?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
